Date,Open,High,Low,Close,Volume,Cluster
2025-01-03,604.76,609.5,596.4136,604.63,11436784.0,2
2025-01-02,589.72,604.91,587.82,599.24,12682269.0,2
2024-12-31,592.265,593.97,583.85,585.51,6019520.0,2
2024-12-30,588.75,596.9399,585.58,591.24,7025864.0,2
2024-12-27,599.41,601.85,589.8,599.81,8084229.0,2
2024-12-26,605.48,606.3,598.94,603.35,6091239.0,2
2024-12-24,602.715,607.99,599.2849,607.75,4726056.0,2
2024-12-23,589.6,601.09,586.25,599.85,10205750.0,2
2024-12-20,590.58,603.11,580.0,585.25,48989390.0,2
2024-12-19,610.39,611.52,595.0,595.57,14958082.0,2
2024-12-18,621.0,627.36,596.32,597.19,17075480.0,2
2024-12-17,626.17,632.37,616.54,619.44,12897842.0,2
2024-12-16,629.975,631.15,618.58,624.24,10885625.0,2
2024-12-13,627.22,631.08,616.886,620.35,8453349.0,2
2024-12-12,631.5,636.6599,627.2094,630.79,7474717.0,2
2024-12-11,623.37,638.4,621.5349,632.68,10837228.0,2
2024-12-10,617.56,625.59,612.74,619.32,10938854.0,2
2024-12-09,623.925,626.4,606.1701,613.57,11426015.0,2
2024-12-06,610.1,629.7899,608.53,623.77,16935503.0,2
2024-12-05,617.075,619.9,607.05,608.93,8081212.0,2
2024-12-04,612.96,617.78,605.1,613.78,14697006.0,2
2024-12-03,595.0,614.2,591.2501,613.65,14907164.0,2
2024-12-02,577.5,594.5,575.57,592.83,12522371.0,2
2024-11-29,569.0,578.46,566.9,574.32,7130519.0,2
2024-11-27,574.89,574.98,564.1001,569.2,7200228.0,2
2024-11-26,566.0,577.5,565.2,573.54,10356550.0,2
2024-11-25,562.1,572.5915,556.39,565.11,13599830.0,2
2024-11-22,563.55,563.8273,554.59,559.14,9164004.0,2
2024-11-21,569.52,570.0,549.05,563.09,11154749.0,2
2024-11-20,562.93,566.3499,554.2001,565.52,9797339.0,2
2024-11-19,551.86,561.43,550.6,561.09,9522445.0,2
2024-11-18,557.04,559.9,550.09,554.4,14346715.0,2
2024-11-15,571.22,572.57,551.5,554.08,17712864.0,2
2024-11-14,577.0,580.76,573.01,577.16,11053743.0,2
2024-11-13,582.605,585.64,575.17,580.0,10757583.0,2
