Date,Open,High,Low,Close,Adj Close,Volume
"Jan 3, 2025",604.76,609.50,596.41,604.63,604.63,11418600
"Jan 2, 2025",589.72,604.91,587.82,599.24,599.24,12682300
"Dec 31, 2024",592.27,593.97,583.85,585.51,585.51,6019500
"Dec 30, 2024",588.75,596.94,585.58,591.24,591.24,7025900
"Dec 27, 2024",599.41,601.85,589.80,599.81,599.81,8084200
"Dec 26, 2024",605.48,606.30,598.94,603.35,603.35,6081400
"Dec 24, 2024",602.72,607.99,599.28,607.75,607.75,4726100
"Dec 23, 2024",589.60,601.09,586.25,599.85,599.85,10205800
"Dec 20, 2024",590.58,603.11,580.00,585.25,585.25,48989400
"Dec 19, 2024",610.39,611.52,595.00,595.57,595.57,14958100
"Dec 18, 2024",621.00,627.36,596.32,597.19,597.19,17075500
"Dec 17, 2024",626.17,632.37,616.54,619.44,619.44,12897800
"Dec 16, 2024",629.98,631.15,618.58,624.24,624.24,10885600
"Dec 13, 2024",627.22,631.08,616.89,620.35,619.85,8453300
"Dec 12, 2024",631.50,636.66,627.21,630.79,630.28,7474700
"Dec 11, 2024",623.37,638.40,621.53,632.68,632.17,10837200
"Dec 10, 2024",617.56,625.59,612.74,619.32,618.82,10938900
"Dec 9, 2024",623.92,626.40,606.17,613.57,613.08,11426000
"Dec 6, 2024",610.10,629.79,608.53,623.77,623.27,16935500
"Dec 5, 2024",617.08,619.90,607.05,608.93,608.44,8081200
"Dec 4, 2024",612.96,617.78,605.10,613.78,613.29,14697000
"Dec 3, 2024",595.00,614.20,591.25,613.65,613.16,14907200
"Dec 2, 2024",577.50,594.50,575.57,592.83,592.35,12522400
"Nov 29, 2024",569.00,578.46,566.90,574.32,573.86,7130500
"Nov 27, 2024",574.89,574.98,564.10,569.20,568.74,7200200
"Nov 26, 2024",566.00,577.50,565.20,573.54,573.08,10356600
"Nov 25, 2024",562.10,572.59,556.39,565.11,564.65,13599800
"Nov 22, 2024",563.55,563.83,554.59,559.14,558.69,9164000
"Nov 21, 2024",569.52,570.00,549.05,563.09,562.64,11154700
"Nov 20, 2024",562.93,566.35,554.20,565.52,565.06,9797300
"Nov 19, 2024",551.86,561.43,550.60,561.09,560.64,9522400
"Nov 18, 2024",557.04,559.90,550.09,554.40,553.95,14346700
"Nov 15, 2024",571.22,572.57,551.50,554.08,553.63,17712900
"Nov 14, 2024",577.00,580.76,573.01,577.16,576.69,11053700
"Nov 13, 2024",582.61,585.64,575.17,580.00,579.53,10757600
"Nov 12, 2024",588.54,599.66,580.38,584.82,584.35,16287700
"Nov 11, 2024",586.36,587.00,576.51,583.17,582.70,10209100
"Nov 8, 2024",591.54,593.10,584.52,589.34,588.87,9415700
"Nov 7, 2024",576.89,594.80,575.21,591.70,591.22,14653700
"Nov 6, 2024",562.75,573.00,555.17,572.05,571.59,18305400
"Nov 5, 2024",567.30,573.48,566.67,572.43,571.97,9775400
"Nov 4, 2024",564.10,568.69,557.89,560.68,560.23,12064600
"Nov 1, 2024",567.61,573.67,562.56,567.16,566.70,15303200
"Oct 31, 2024",585.00,589.90,563.01,567.58,567.12,26838400
"Oct 30, 2024",600.98,601.20,589.38,591.80,591.32,26864900
"Oct 29, 2024",580.15,593.67,575.40,593.28,592.80,13019100
"Oct 28, 2024",582.00,583.75,574.12,578.16,577.69,10925100
"Oct 25, 2024",573.93,581.29,571.72,573.25,572.79,11337900
"Oct 24, 2024",567.13,568.88,561.52,567.78,567.32,7184700
"Oct 23, 2024",579.97,585.00,562.50,563.69,563.24,14248400
"Oct 22, 2024",574.29,583.53,572.12,582.01,581.54,8544500
"Oct 21, 2024",576.03,577.24,569.11,575.16,574.70,8171900
"Oct 18, 2024",581.10,583.97,575.25,576.47,576.01,7694300
"Oct 17, 2024",583.33,584.97,575.20,576.93,576.47,8701200
"Oct 16, 2024",581.40,582.08,574.03,576.79,576.33,11268400
"Oct 15, 2024",590.16,590.61,580.14,586.27,585.80,9564200
"Oct 14, 2024",594.22,600.10,589.96,590.42,589.94,8252000
"Oct 11, 2024",584.83,591.21,582.71,589.95,589.47,8587100
"Oct 10, 2024",587.57,590.23,582.52,583.83,583.36,7740400
"Oct 9, 2024",593.99,594.39,581.61,590.51,590.03,9529700
"Oct 8, 2024",589.69,593.56,585.97,592.89,592.41,7857400
